"活動ID","建立日期","平台","頻道名稱","活動標題","貼文則數","貼文類型","貼文連結","Meta post ID","留言數","留言加購","銷售額NT$"
"616684","2025-08-29","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","阿富汗天然海水藍寶","3","Reel","https://www.facebook.com/reel/1867995437113753/
https://www.facebook.com/reel/1200549355224671/
https://www.facebook.com/reel/1151267987080940/","1627804834169159_1239482051525074
1627804834169159_1273028794837066
1627804834169159_1316181650521780","133","0","0"
"616571","2025-08-29","Instagram","tzgems1111","POST 2025/08/29 13:34七夕","1","Reel","https://www.instagram.com/reel/DN7VBdyj1Ec/","18522654748057136","112","0","0"
"616298","2025-08-28","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/08/28 19:02CP值最高小資首選-六大寶石平替首選(T牌經典永恆套件組)","3","Reel","https://www.facebook.com/reel/1928335837709865/
https://www.facebook.com/reel/660733943167266/
https://www.facebook.com/reel/971216268467442/","1627804834169159_1238552888284657
1627804834169159_1238552638284682
1627804834169159_1238553134951299","11","0","0"
"616133","2025-08-28","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","寵粉彩虹黑曜岩手串","3","Reel","https://www.facebook.com/reel/1573508266958469/
https://www.facebook.com/reel/1513649312970164/
https://www.facebook.com/reel/735484385548572/","1627804834169159_1238523398287606
1627804834169159_1272094168263862
1627804834169159_1315341590605786","79","64","9000"
"615472","2025-08-27","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","12星座守護寶石","4","Reel","https://www.facebook.com/reel/3095251903982532/
https://www.facebook.com/reel/1946450226151549/
https://www.facebook.com/reel/1073954461421756/
https://www.facebook.com/reel/1517706763688867/","1627804834169159_1237557155050897
1627804834169159_1271165491690063
1627804834169159_1314450830694862
1627804834169159_1353170410156237","440","0","0"
"614976","2025-08-26","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","貴婦珍珠項鏈","1","Reel","https://www.facebook.com/reel/2559528244390482/","1627804834169159_1236657058474240","13","0","0"
"614595","2025-08-25","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","寵粉開運鈦晶項鍊","4","影片 / Reel","https://www.facebook.com/681888940617724/videos/1114117067292684
https://www.facebook.com/reel/1905376020008191/
https://www.facebook.com/reel/802045702461214/
https://www.facebook.com/reel/1400868468086167/","1627804834169159_1235720738567872
1627804834169159_1269304678542811
1627804834169159_1287551060051506
1627804834169159_1312782997528312","366","222","14500"
"614399","2025-08-24","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","POST 2025/08/24 13:23","1","影片","https://www.facebook.com/681888940617724/videos/1417827009450446","1627804834169159_1234609432012336","3","0","0"
"613999","2025-08-22","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","寵粉彩藍寶有錢花戒指","4","影片 / Reel","https://www.facebook.com/681888940617724/videos/4109634342583440
https://www.facebook.com/reel/1974173306762231/
https://www.facebook.com/reel/923544247501500/
https://www.facebook.com/reel/877404651545779/","1627804834169159_1234858031987476
1627804834169159_1268344421972170
1627804834169159_1311921270947818
1627804834169159_1353168623489749","5","5","6000"
"613996","2025-08-22","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","《時來運轉 Turning Point》","4","影片 / Reel","https://www.facebook.com/681888940617724/videos/781121034602592
https://www.facebook.com/reel/1436239157455409/
https://www.facebook.com/reel/1183183007254736/
https://www.facebook.com/reel/1539382057356919/","1627804834169159_1233197348820211
1627804834169159_1267398628733416
1627804834169159_1311069317699680
1627804834169159_1353168070156471","213","0","0"
