date,video_id,platform,plays,reach,comments,likes,shares,score
2026-05-07,1934017617248107,fb,4265,4307,8,94,3,41
2026-05-07,1700950354372275,fb,7320,7717,25,154,7,59
2026-05-07,1878143446220097,fb,6610,7037,96,106,3,56
2026-05-07,1353928069903141,fb,4118,4243,5,111,0,32
2026-05-07,1462435125101204,fb,13841,14084,0,149,0,45
2026-05-07,2027719584763163,fb,8677,8820,129,182,5,62
2026-05-07,860368276317988,fb,33923,34563,4,509,29,63
2026-05-07,1267430578879497,fb,2475,2170,0,56,2,22
2026-05-07,1841116836557541,fb,1238,1198,8,27,1,0
2026-05-07,976175788228834,fb,1497,1454,0,35,4,0
2026-05-07,1312907507434093,fb,27366,26496,1,394,61,67
2026-05-07,1536080201282985,fb,8232,8378,212,192,0,51
2026-05-07,1973217906895873,fb,4447,4357,35,97,1,32
2026-05-07,2744523959238602,fb,4609,4693,48,116,2,40
2026-05-07,1647132799664170,fb,3837,3896,0,74,1,23
2026-05-07,2051659405765342,fb,989,936,0,16,0,0
2026-05-08,2050095295927457,fb,3136,3126,2,59,0,25
2026-05-08,821990560946949,fb,7358,7359,76,132,2,47
2026-05-08,26541072558894159,fb,3568,3532,0,83,0,18
2026-05-08,2039704963556171,fb,9197,9372,5,205,3,52
2026-05-08,1671239750567460,fb,3654,3678,0,51,3,28
2026-05-08,796828263186023,fb,8617,8627,129,120,0,52
2026-05-08,974792628330298,fb,15620,15904,2,401,7,53
2026-05-08,2248656868999741,fb,6985,7093,33,312,6,57
2026-05-08,942254035074221,fb,5504,5644,2,149,1,35
2026-05-08,1589419192539706,fb,1505,1478,1,45,0,20
2026-05-08,4342797209371871,fb,35750,35910,14,741,4,63
2026-05-08,848247071634612,fb,2513,2460,40,57,0,39
2026-05-08,832959339849869,fb,6439,6614,82,109,4,52
2026-05-08,1659281745117667,fb,5505,5355,5,139,10,54
2026-05-08,26920335274251064,fb,4633,4514,88,95,0,50
2026-05-08,2105862643317069,fb,5673,5969,105,89,4,59
2026-05-08,1621388699080925,fb,2191,2141,5,45,0,11
2026-05-08,1484578456379295,fb,3028,2904,0,75,3,27
2026-05-08,1244556247419577,fb,31557,33235,15,535,0,60
2026-05-08,17921707305333986,ig,869,854,0,9,0,0
2026-05-08,18311920003278841,ig,2182,2149,1,51,8,39
2026-05-08,18083574995525867,ig,1467,1440,20,29,2,0
2026-05-08,18062242379415014,ig,4408,4374,0,99,2,29
2026-05-08,17965963686060929,ig,4505,4532,0,101,24,46
2026-05-08,18151543057415264,ig,3586,3324,15,37,4,24
2026-05-08,17998822607929829,ig,1522,1547,23,35,1,40
2026-05-08,17982421521003920,ig,3057,3045,0,57,3,27
2026-05-08,18105851549509097,ig,5323,5344,3,124,17,58
2026-05-08,18105667477723912,ig,1928,1905,11,49,1,19
2026-05-08,18055225880524372,ig,12959,13188,4,291,4,54
2026-05-08,17889398025346368,ig,1885,1910,24,23,3,41
2026-05-08,17858038980631344,ig,2611,2630,56,51,2,48
2026-05-08,17888877198350138,ig,3096,3019,4,147,51,54
2026-05-08,18428162641185239,ig,3089,3150,22,66,2,27
2026-05-08,17945036784159116,ig,48635,45856,18,1267,39,71
2026-05-08,2294434614419419,fb,14082,14285,4,449,29,65
2026-05-08,1480411827114437,fb,3351,3418,0,57,0,17
2026-05-08,17884106586513278,ig,2539,2421,1,87,22,43
2026-05-08,2671660139876729,fb,47425,60322,29,1147,3,64
2026-05-08,936590619013678,fb,5179,5304,0,95,11,43
2026-05-08,1320887196600099,fb,4789,5237,25,119,1,28
2026-05-08,18076028567534301,ig,12360,12205,5,462,15,64
2026-05-08,18077402978280199,ig,1132,1133,0,24,4,0
2026-05-08,18217336387316574,ig,1981,1993,33,32,2,46
2026-05-08,2199022047515003,fb,6454,6729,2,174,0,37
2026-05-08,1864229470939941,fb,5584,6166,4,113,0,41
2026-05-08,809802795138517,fb,5049,5364,0,134,5,25
2026-05-08,1479118220517328,fb,14968,15042,101,326,15,51
2026-05-08,2445443019237006,fb,4559,4744,0,96,4,34
2026-05-08,1327100795969723,fb,2648,2792,1,57,1,11
2026-05-08,770948119286458,fb,10359,10612,5,331,2,49
2026-05-08,1218409573702798,fb,4581,4588,2,73,1,18
2026-05-08,946358478014051,fb,7141,7512,83,88,0,49
2026-05-08,992409379972726,fb,2436,2421,2,16,0,9
2026-05-08,1685331449569077,fb,259799,307388,59,3638,236,71
2026-05-08,1297979515814750,fb,18465,18976,410,300,5,71
2026-05-08,1486532986230905,fb,1923,1972,0,18,0,11
2026-05-08,939633498894840,fb,7078,7492,75,144,1,46
2026-05-08,982031720841319,fb,8382,8441,74,165,5,48
2026-05-08,1950140099205338,fb,1450,1493,0,31,1,0
2026-05-08,1461501238810777,fb,8307,8677,145,138,0,61
2026-05-08,1532951375210753,fb,1053,1093,0,17,2,0
2026-05-08,935996825866036,fb,5305,5408,6,181,6,29
2026-05-08,1937578960215234,fb,5476,5146,0,81,4,37
2026-05-08,1519952812822608,fb,3298,3355,0,69,0,17
2026-05-08,1479065100557230,fb,1750,1768,1,39,0,21
2026-05-08,1495912212189973,fb,2684,2761,3,41,0,10
2026-05-08,789059620737242,fb,1269,1279,0,9,0,0
2026-05-08,2388503981575279,fb,3669,3618,1,66,0,24
2026-05-08,2469642576827530,fb,4750,4859,3,147,2,38
2026-05-08,2022651559131149,fb,8438,8909,107,139,1,55
2026-05-08,969440372335105,fb,6634,7264,156,105,6,67
2026-05-08,961299933495990,fb,14579,15555,1,218,3,47
2026-05-08,2508773376210204,fb,2734,2855,0,52,0,15
2026-05-08,957598923668086,fb,4349,4635,0,74,2,28
2026-05-08,1696584428367674,fb,1948,2071,0,15,0,11
2026-05-08,2395499794207288,fb,7434,8246,3,270,5,50
2026-05-08,26392497683756040,fb,6177,6170,0,151,6,43
2026-05-08,26454313877596632,fb,8170,8697,4,145,1,46
2026-05-08,3858337047796068,fb,3770,3895,0,50,6,33
